id,value,key,type
122957,residential,highway,regular
122957,30,maxspeed,regular
122957,Otto-Klemperer-Weg,name,regular
122957,asphalt,surface,regular
2413090,unclassified,highway,regular
2413090,30,maxspeed,regular
2413090,Freihamer Weg,name,regular
2413090,asphalt,surface,regular
2724152,residential,highway,regular
2724152,yes,lit,regular
2724152,Hygin-Kiene-Straße,name,regular
2724152,83607,postal_code,regular
2921411,residential,highway,regular
2921411,30,maxspeed,regular
2921411,Wardeinstraße,name,regular
3221446,yes,bicycle,regular
3221446,designated,foot,regular
3221446,footway,highway,regular
3221446,12%,incline,regular
3221446,Radfahren ist hier seit 07/2016 plötzlich offiziell erlaubt ( Fußwegschild mit ZUsatzschild Rf frei),note,regular
3221446,asphalt,surface,regular
3283120,living_street,highway,regular
3283120,yes,lit,regular
3283120,Maierfeldweg,name,regular
3283120,good,smoothness,regular
3283120,asphalt,surface,regular
3303591,residential,highway,regular
3303591,yes,lit,regular
3303591,30,maxspeed,regular
3303591,Kreuzerweg,name,regular
3322134,tertiary,highway,regular
3322134,yes,lit,regular
3322134,30,maxspeed,regular
3322134,Waldstraße,name,regular
3322134,parallel,lane:right,parking
3342970,Point,TMC:cid_58:tabcd_1:Class,regular
3342970,both,TMC:cid_58:tabcd_1:Direction,regular
3342970,9.00,TMC:cid_58:tabcd_1:LCLversion,regular
3342970,35475,TMC:cid_58:tabcd_1:LocationCode,regular
3342970,35476,TMC:cid_58:tabcd_1:NextLocationCode,regular
3342970,35474,TMC:cid_58:tabcd_1:PrevLocationCode,regular
3342970,use_sidepath,bicycle,regular
3342970,yes,bridge,regular
3342970,use_sidepath,foot,regular
3342970,secondary,highway,regular
3342970,4,lanes,regular
3342970,1,layer,regular
3342970,yes,lit,regular
3342970,50,maxspeed,regular
3342970,Schatzbogen,name,regular
3342970,asphalt,surface,regular
3342970,DE:35475,tmc,regular
3401786,water,natural,regular
3430495,residential,highway,regular
3430495,yes,lit,regular
3430495,30,maxspeed,regular
3430495,Brändströmstraße,name,regular
3430495,good,smoothness,regular
3430495,asphalt,surface,regular
3551855,residential,highway,regular
3551855,yes,lit,regular
3551855,30,maxspeed,regular
3551855,Ernastraße,name,regular
3551855,81827,postal_code,regular
3551855,asphalt,surface,regular
3574858,living_street,highway,regular
3574858,yes,lit,regular
3574858,Adalbert-Stifter-Straße,name,regular
3574858,good,smoothness,regular
3574858,asphalt,surface,regular
3615550,residential,highway,regular
3615550,yes,lit,regular
3615550,30,maxspeed,regular
3615550,Gronsdorfer Straße,name,regular
3615550,both,sidewalk,regular
3615550,DE:zone:30,maxspeed,source
3615550,asphalt,surface,regular
3618206,park,leisure,regular
3655072,residential,highway,regular
3655072,2,lanes,regular
3655072,30,maxspeed,regular
